date,gdp_yoy,inf_yoy,rate_3m_d1,rate_10y_d1,unemployment_d1
1954-06-30,-2.2634316116210615,-1.0304200269440775,-0.41099158147867626,-0.22463654148505482,0.7650152751782563
1954-09-30,-1.5574463968339805,-1.2912986479305708,0.12024794402359532,-0.01585793256860469,0.24308740453906075
1954-12-31,-0.1084777234678445,-1.4656140652980236,0.18360678651469212,0.26748446524658076,-0.895664313219181
1955-03-31,1.2701695771794623,-1.5008685274042322,0.28108192880868693,0.37187376970480585,-0.8482163249792544
1955-06-30,1.8998561654167905,-1.4922802027690762,0.36393579975858253,0.24511532857696047,-0.4686324190598413
1955-09-30,1.9912381358977747,-1.3719059424224864,0.5296435416583737,0.39424290637442616,-0.42118443081991214
1955-12-31,1.4309581742097375,-1.1520580732569812,0.6856037693287652,-0.09787810035720945,0.19563941629913412
1956-03-31,0.08992957157096682,-1.1971020148558902,-0.030838526532096296,-0.03822706923822399,-0.2788404661001335
1956-06-30,-0.24111261188735614,-0.9094847117322945,0.3346932570703844,0.39424290637442616,0.243087404539062
1956-09-30,-0.8400209249322922,-0.5596445152359862,0.008151530385501243,0.40915566415417204,-0.08904851314042568
1956-12-31,-0.4075738797283388,-0.3559434493015857,0.6417399552964674,0.4315248008237913,0.005847463339427585
1957-03-31,0.022103849907148698,-0.05624618594772961,0.07638412999129726,-0.1724418892559408,-0.2788404661001335
1957-06-30,-0.4140732982862888,0.01573322346643657,0.047141587303100085,0.48371945305290337,0.243087404539062
1957-09-30,0.03144857381326354,-0.03721824547263029,0.29570320015278617,0.6552161675199913,0.19563941629913412
1957-12-31,-1.0866241002348915,-0.17432127570728076,-0.0795760976790942,-0.6720192748774518,1.0022552163778906
1958-03-31,-2.4540373366148347,-0.04060392450318737,-2.2873880706380776,-1.3430933749660448,1.9512149811764259
1958-06-30,-2.088325687672349,-0.10691002502592775,-1.1859189627159354,-0.27683119371416687,1.5241830870170863
1958-09-30,-1.53958443400525,-0.45755748409792496,1.0413880387018468,1.2740956153794702,-0.04160052490050031
1958-12-31,-0.13752152168010826,-0.5969774838235214,1.4605311505660248,0.6552161675199903,-1.3701441956184486
1959-03-31,1.7578807731429098,-0.9647618666927223,0.1056266726794964,0.40915566415417104,-0.7533203484994024
1959-06-30,2.4162586800582977,-1.1455634469337403,0.315198228611585,0.580652378621258,-1.038008277938961
1959-09-30,1.488703246412797,-0.9376305051467348,0.7733313973933617,0.5359141052820164,0.24308740453906075
1959-12-31,0.6407743369658209,-0.7552726969893021,0.9926504675548493,0.1630951607883547,0.48032734573869645
1960-03-31,0.7761097209901143,-0.7852082904807323,-0.5377092664608708,-0.23209292037492626,-0.6584243720195478
1960-06-30,-0.3820390073612787,-0.6288117696674368,-1.3028891334687285,-0.5228916970799852,0.1481914280592075
1960-09-30,-0.20672773167123934,-0.7968790974738181,-0.942231106980949,-0.9702744304723822,0.4328793574987698
1960-12-31,-0.8660852943268371,-0.7834566255252016,-0.09419736902319312,0.10344412966936825,1.0497032046178147
1961-03-31,-1.5149662739218956,-0.7430264299932495,0.04714158730309943,-0.2395492992648017,0.7650152751782575
1961-06-30,-0.5847532882393129,-0.9738733247047231,-0.08444985479379405,-0.008401553678731258,0.29053539277898865
1961-09-30,0.0065832345724690395,-0.8521905838254178,-0.016217255187997385,0.409155664154173,-0.32628845434006015
1961-12-31,1.359643186134532,-1.0325498293851596,0.2128493292028906,-0.03077069034835056,-0.8007683367393278
1962-03-31,1.8178405774596493,-0.9645861905706775,0.36880955687328204,0.08107499299974895,-0.800768336739329
1962-06-30,1.4902907487446138,-0.8153945824725174,-0.025964769417396442,-0.3364822248331533,-0.13649650138035105
1962-09-30,1.2057602296787984,-0.8533534710806868,0.1641117580558927,0.24511532857695947,0.053295451579352955
1962-12-31,0.5305854833079425,-0.8179096953469953,-0.05520731210559427,-0.20972378370530698,-0.04160052490049779
1963-03-31,0.24535134445875725,-0.843680331237493,0.12024794402359466,-0.038227069238224984,0.337983381018914
1963-06-30,0.3355003584412467,-0.9129561045856137,0.032520315958999874,0.14072602411873542,-0.04160052490049905
1963-09-30,0.7341817994081179,-0.7950478400902646,0.5004009989701749,0.14072602411873442,-0.32628845434006015
1963-12-31,0.8701117514878662,-0.7843658966754402,0.28108192880868726,0.17800791856810158,0.10074343981928086
1964-03-31,1.2887416888616032,-0.7504654778495111,0.032520315958999874,0.11835688744911411,-0.13649650138035357
1964-06-30,1.2749432670011607,-0.7593338410285391,-0.09419736902319312,0.028880340770636895,-0.3737364425799855
1964-09-30,1.0136758840094364,-0.8994783850967759,0.013025287500201098,-0.030770690348348576,-0.2788404661001335
1964-12-31,0.8693172280217893,-0.8302908630771618,0.2567131432351886,-0.06059620590784628,-0.04160052490050031
1965-03-31,0.996629505619537,-0.8671343673341999,0.2859556859233865,0.0512494774402562,-0.08904851314042568
1965-06-30,1.068746250080705,-0.6932244960340074,-0.04058604076149601,-0.008401553678729272,-0.3262884543400589
1965-09-30,1.3399722090010502,-0.6674659303665696,-0.02596476941739709,0.07361861410987551,-0.4211844308199134
1965-12-31,2.1637659902190265,-0.6433395896271006,0.42242088513497983,0.4911758319427778,-0.3737364425799868
1966-03-31,2.169454672970763,-0.41485083960714103,0.6319924410670684,0.6477597886301169,-0.32628845434006076
1966-06-30,1.786784132646497,-0.3173331118900921,-0.050333554990895715,0.006511204101015606,-0.04160052490049905
1966-09-30,1.219664226719028,-0.10708436544151313,0.6514874695258666,0.7894309875377071,-0.08904851314042568
